x,y
57.4507,47.7936
47.926,60.8721
59.7153,68.1891
72.8454,65.0885
46.4877,54.6387
46.4879,65.318
73.6882,102.9744
61.5115,73.6411
42.9579,69.3259
58.1384,85.5885
43.0487,36.9875
43.0141,68.1843
53.6294,71.7623
21.3008,96.5958
24.1262,52.7761
41.5657,70.7878
34.8075,56.0575
54.7137,47.6998
36.3796,75.6294
28.8154,70.333
71.9847,95.0342
46.6134,41.0069
51.0129,89.7771
28.6288,29.4973
41.8343,68.9935
51.6638,103.8007
32.7351,45.2839
55.6355,52.8075
40.9904,60.2154
45.6246,59.5332
40.9744,35.3805
77.7842,75.446
49.7975,49.2326
34.1343,64.0862
62.3382,65.6298
31.6873,85.9248
53.133,44.0654
20.6049,52.2828
30.0772,67.917
52.9529,51.6851
61.077,67.7724
52.5705,84.8046
48.2653,42.8923
45.4834,70.7433
27.8222,56.2434
39.2023,71.8155
43.0904,41.9981
65.8568,46.6836
55.1543,83.2027
23.5544,63.546
54.8613,63.9114
44.2238,73.0532
39.8462,62.3643
59.1751,76.3987
65.465,66.4387
63.9692,56.0543
37.4117,95.5447
45.3618,67.1777
54.969,50.8402
64.6332,83.1114
42.8124,43.5888
47.2151,75.6732
33.405,61.1941
32.0569,42.1849
62.1879,81.8442
70.3436,71.0559
48.9198,85.1689
65.053,90.8171
55.4245,60.7463
40.3232,51.4446
55.4209,60.4899
73.0705,52.5047
49.4626,69.4981
73.4697,77.2093
10.7038,52.454
62.3285,83.4168
51.3057,66.582
45.5149,82.4564
51.3764,61.7921
20.1865,94.9319
46.7049,73.9641
55.3567,57.0603
72.1684,63.5172
42.2259,63.7158
37.8726,68.675
42.4736,63.6917
63.731,75.4589
54.9313,68.3285
42.0536,51.3191
57.699,41.4735
51.4562,57.6985
64.5297,79.7399
39.4692,62.1053
45.0851,49.0874
44.1184,67.6183
28.0473,60.7294
54.4418,57.5727
53.9158,70.0171
50.0767,69.9605
46.4812,49.9479
